id,date,entry_time,exit_time,duration_mins,strategy,index_name,option_type,index_entry,premium_entry,index_exit,pnl,pnl_pct,exit_reason
3,2026-03-23,10:14:51,10:51:02,36.2,TREND,SENSEX,PE,72929.53125,583,22528.75,1007.26,172.77,TARGET_HIT
6,2026-03-23,10:42:31,10:51:02,8.5,ORB,SENSEX,PE,72782.7109375,582,22528.75,1004.63,172.62,TARGET_HIT
1,2026-03-23,10:14:44,13:00:19,165.6,TREND,NIFTY,PE,22577.900390625,181,22490.849609375,1.74,0.96,TIME_STOP_13:00
2,2026-03-23,10:14:48,13:00:19,165.5,TREND,BANKNIFTY,PE,51840.19921875,415,51626.8515625,4.27,1.03,TIME_STOP_13:00
4,2026-03-23,10:38:09,13:00:19,142.2,ORB,NIFTY,PE,22578.05078125,181,22490.849609375,1.75,0.97,TIME_STOP_13:00
5,2026-03-23,10:38:13,13:00:19,142.1,ORB,BANKNIFTY,PE,51826.55078125,415,51626.8515625,4.0,0.96,TIME_STOP_13:00
7,2026-03-24,09:51:40,13:01:18,189.6,GAP_CONT,NIFTY,CE,22512.650390625,180,22967.30078125,9.09,5.05,TIME_STOP_13:00
8,2026-03-24,09:51:41,13:01:18,189.6,TREND,NIFTY,CE,22711.19921875,182,22967.30078125,5.13,2.82,TIME_STOP_13:00
9,2026-03-24,09:51:45,13:01:18,189.5,GAP_CONT,BANKNIFTY,CE,51437.75,412,52682.6484375,24.93,6.05,TIME_STOP_13:00
10,2026-03-24,09:51:45,13:01:18,189.5,TREND,BANKNIFTY,CE,52124.25,417,52682.6484375,11.17,2.68,TIME_STOP_13:00
11,2026-03-24,09:51:50,13:01:18,189.5,GAP_CONT,SENSEX,CE,72696.390625,582,74171.4296875,29.52,5.07,TIME_STOP_13:00
12,2026-03-24,09:51:50,13:01:18,189.5,TREND,SENSEX,CE,73656.703125,589,74171.4296875,10.29,1.75,TIME_STOP_13:00
13,2026-03-24,10:36:15,13:01:18,145.0,ORB,BANKNIFTY,PE,51963.44921875,416,52682.6484375,-14.39,-3.46,TIME_STOP_13:00
14,2026-03-24,10:58:29,13:01:18,122.8,ORB,NIFTY,PE,22642.05078125,181,22967.30078125,-6.5,-3.59,TIME_STOP_13:00
15,2026-03-24,11:16:40,13:01:18,104.6,ORB,SENSEX,PE,73184.3671875,585,74171.4296875,-19.73,-3.37,TIME_STOP_13:00
16,2026-03-24,14:31:57,15:28:12,56.3,EOD,SENSEX,CE,74390.78125,595,74031.34375,-7.19,-1.21,MARKET_CLOSE
17,2026-03-24,14:46:01,15:28:12,42.2,EOD,BANKNIFTY,PE,52587.6484375,421,52719.25,-2.63,-0.63,MARKET_CLOSE
18,2026-03-25,09:49:20,09:51:33,2.2,TREND,NIFTY,CE,75025.890625,600,23273.05078125,-600.0,-100.0,SL_HIT
20,2026-03-25,09:49:27,12:37:45,168.3,TREND,SENSEX,CE,75025.890625,600,75781.34375,302.08,50.35,TARGET_HIT
22,2026-03-25,10:40:07,13:01:52,141.7,ORB,NIFTY,CE,23315.55078125,187,23395.69921875,32.14,17.19,TIME_STOP_13:00
23,2026-03-25,11:11:18,13:11:55,120.6,ORB,SENSEX,CE,75477.4609375,604,75584.7109375,42.91,7.1,TIME_STOP_13:00
19,2026-03-25,09:49:23,14:24:23,275.0,TREND,BANKNIFTY,CE,53662.3515625,429,53756.1015625,37.47,8.74,TIME_STOP_13:00
21,2026-03-25,10:29:35,14:24:23,234.8,ORB,BANKNIFTY,CE,53697.44921875,430,53756.1015625,23.48,5.46,TIME_STOP_13:00
